Date,Composite_HPI_SA,Composite_Benchmark_SA
Jan 2005,100,305900
Feb 2005,100.4,307200
Mar 2005,100.9,308600
Apr 2005,101.4,310200
May 2005,101.9,311800
Jun 2005,102.4,313100
Jul 2005,102.8,314500
Aug 2005,103.4,316200
Sep 2005,103.9,317700
Oct 2005,104.4,319300
Nov 2005,104.8,320700
Dec 2005,105.5,322600
Jan 2006,105.9,324100
Feb 2006,106.3,325200
Mar 2006,106.9,326900
Apr 2006,107.4,328500
May 2006,107.7,329500
Jun 2006,107.8,329700
Jul 2006,107.9,330200
Aug 2006,108,330300
Sep 2006,108.3,331400
Oct 2006,108.5,331900
Nov 2006,108.9,333000
Dec 2006,109.1,333800
Jan 2007,109.6,335300
Feb 2007,110.6,338300
Mar 2007,111.3,340400
Apr 2007,111.9,342400
May 2007,112.7,344800
Jun 2007,113.7,347800
Jul 2007,114.4,350000
Aug 2007,115.1,352000
Sep 2007,115.7,354000
Oct 2007,116.5,356500
Nov 2007,117.3,358700
Dec 2007,118,361100
Jan 2008,118.6,362900
Feb 2008,119.2,364500
Mar 2008,119.3,364900
Apr 2008,119.3,364900
May 2008,119.2,364600
Jun 2008,118.9,363700
Jul 2008,118.6,362900
Aug 2008,118.4,362200
Sep 2008,117.8,360500
Oct 2008,117.2,358500
Nov 2008,116.3,355900
Dec 2008,115.5,353300
Jan 2009,114,348700
Feb 2009,112.9,345400
Mar 2009,112.8,345000
Apr 2009,113.5,347100
May 2009,114.7,350800
Jun 2009,116.4,356200
Jul 2009,118.4,362300
Aug 2009,120.2,367800
Sep 2009,122.1,373600
Oct 2009,124,379200
Nov 2009,125.7,384600
Dec 2009,127.3,389300
Jan 2010,128.9,394400
Feb 2010,130.2,398400
Mar 2010,131,400700
Apr 2010,131.2,401300
May 2010,130.9,400500
Jun 2010,130.5,399100
Jul 2010,129.9,397300
Aug 2010,129.7,396800
Sep 2010,130.1,398000
Oct 2010,130.5,399300
Nov 2010,131.4,402000
Dec 2010,132.5,405400
Jan 2011,133.8,409300
Feb 2011,135.3,414000
Mar 2011,135.8,415300
Apr 2011,136.5,417600
May 2011,137.4,420200
Jun 2011,138.1,422400
Jul 2011,139.3,426100
Aug 2011,140.3,429300
Sep 2011,141.1,431500
Oct 2011,142,434500
Nov 2011,142.8,436700
Dec 2011,143.8,439900
Jan 2012,144.4,441700
Feb 2012,145.6,445300
Mar 2012,146.6,448400
Apr 2012,147.5,451300
May 2012,148.3,453700
Jun 2012,148.9,455400
Jul 2012,149,455800
Aug 2012,149.3,456800
Sep 2012,149.6,457700
Oct 2012,149.8,458200
Nov 2012,149.9,458500
Dec 2012,150.1,459200
Jan 2013,150.3,459700
Feb 2013,150.6,460700
Mar 2013,151.4,463100
Apr 2013,152.1,465300
May 2013,152.8,467500
Jun 2013,153.4,469300
Jul 2013,154.2,471700
Aug 2013,155.1,474500
Sep 2013,156,477300
Oct 2013,157,480200
Nov 2013,158.5,484800
Dec 2013,159.5,487900
Jan 2014,161,492600
Feb 2014,161.9,495100
Mar 2014,162.5,497000
Apr 2014,163,498700
May 2014,163.7,500700
Jun 2014,165.1,504900
Jul 2014,166.1,508200
Aug 2014,166.9,510500
Sep 2014,167.9,513700
Oct 2014,169.5,518500
Nov 2014,170.8,522400
Dec 2014,172.1,526600
Jan 2015,173.4,530400
Feb 2015,174.6,534000
Mar 2015,175.6,537200
Apr 2015,177,541400
May 2015,178.1,544700
Jun 2015,179.7,549600
Jul 2015,181.6,555400
Aug 2015,183.5,561400
Sep 2015,185.5,567300
Oct 2015,186.7,571000
Nov 2015,188.5,576700
Dec 2015,189.9,581000
Jan 2016,191.6,586000
Feb 2016,193.4,591600
Mar 2016,195.7,598700
Apr 2016,199,608700
May 2016,204,624000
Jun 2016,207.7,635300
Jul 2016,211.4,646700
Aug 2016,215.1,658100
Sep 2016,218.7,669000
Oct 2016,223.4,683300
Nov 2016,226.7,693400
Dec 2016,229.6,702400
Jan 2017,235.1,719200
Feb 2017,240.3,735200
Mar 2017,252,770800
Apr 2017,261.1,798600
May 2017,262.1,801700
Jun 2017,260.4,796500
Jul 2017,250.2,765500
Aug 2017,246.2,753100
Sep 2017,246.1,752800
Oct 2017,245.4,750700
Nov 2017,245.8,751900
Dec 2017,245.9,752100
Jan 2018,246.2,753200
Feb 2018,246.7,754700
Mar 2018,247.1,755900
Apr 2018,247.1,756000
May 2018,248.1,758800
Jun 2018,248.6,760400
Jul 2018,249.3,762700
Aug 2018,250.1,765100
Sep 2018,251.1,768200
Oct 2018,251.9,770600
Nov 2018,252.2,771600
Dec 2018,253.1,774200
Jan 2019,252.9,773700
Feb 2019,252.5,772400
Mar 2019,253.3,774900
Apr 2019,255.1,780300
May 2019,256.5,784700
Jun 2019,258.5,790700
Jul 2019,260.5,797000
Aug 2019,262.3,802300
Sep 2019,263.9,807200
Oct 2019,266,813800
Nov 2019,268.6,821700
Dec 2019,270.3,827000
Jan 2020,273.7,837200
Feb 2020,276.6,846200
Mar 2020,280.9,859300
Apr 2020,281.5,861200
May 2020,281.3,860400
Jun 2020,280.3,857500
Jul 2020,287.1,878100
Aug 2020,290.9,889800
Sep 2020,294.1,899500
