Year,Toronto city population
2001,2481494
2006,2503281
2011,2615060
2016,2731571
,
"""Population and dwelling counts, for Canada, census metropolitan areas, census agglomerations and census subdivisions (municipalities), 2006 and 2001 censuses - 100% data"". Statistics Canada, 2006 Census of Population. March 13, 2007. Retrieved March 19, 2007.",
,
"""Population and dwelling counts, for Canada, census metropolitan areas, census agglomerations and census subdivisions (municipalities), 2011 and 2006 censuses"". Statistics Canada, 2011 Census of Population. February 8, 2011. Retrieved February 8, 2011",
" ""Toronto population count"". Statistics Canada, 2016 Census of Population. February 8, 2017. Retrieved February 9, 2017",
