Year,Housing starts,Housing under construction,Housing completions
2000,38982,30273,33740
2001,41017,34305,37138
2002,43805,33094,45170
2003,45475,39907,38644
2004,42115,42148,39620
2005,41596,44305,39296
2006,37080,42654,38121
2007,33293,45470,30357
2008,42212,50823,36258
2009,25949,48361,28356
2010,29195,46552,31393
2011,39745,52589,33831
2012,48105,68812,31907
2013,33547,69062,33708
2014,28929,68948,29213
2015,42287,64798,46384
2016,39027,68918,34613
2017,38738,70349,37132
2018,41107,72175,37750
2019,30462,74451,27410
